model,price,reviews,url,vendor
ROTEADOR WIRELESS 300MBPS W4-300F 4750089,"R$ 117,81",17,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-300mbps-w4-300f-4750089,
- Repetidor Amplificador Melhora Sinal Wifi 300mbps Botao Wps,"R$ 62,73",15,https://www.buscape.com.br/modem-e-roteador/repetidor-amplificador-melhora-sinal-wifi-300mbps-botao-wps,
Repetidor Wifi Xiaomi Pro 300mbps Amplificador De Sinal,"R$ 92,00",13,https://www.buscape.com.br/modem-e-roteador/repetidor-wifi-xiaomi-pro-300mbps-amplificador-de-sinal,
WEX-350,"R$ 230,70",11,https://www.buscape.com.br/modem-e-roteador/access-point-aquario-wex-350,Aquário
EAP225,"R$ 721,71",10,https://www.buscape.com.br/modem-e-roteador/access-point-867-mbps-tp-link-eap225,TP-Link
R1200 Action,"R$ 170,10",10,https://www.buscape.com.br/modem-e-roteador/roteador-1200-mbps-intelbras-r1200-action,Intelbras
Roteador Tp-Link Archer C60 Ac1350 Dual Band,"R$ 217,21",10,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-archer-c60-ac1350-dual-band,
RE051,"R$ 68,00",7,https://www.buscape.com.br/modem-e-roteador/acess-point-wireless-300-mbps-re051-multilaser,Multilaser
9254,"R$ 56,99",4,https://www.buscape.com.br/modem-e-roteador/access-point-roteador-wireless-300-mbps-9254-comtac,Comtac
Roteador TP-LINK Wireless Dual BAND AC1200 ARCHER C50-W,"R$ 180,80",4,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-wireless-dual-band-ac1200-archer-c50-w,
Roteador Repetidor Sinal Wifi 300Mbps Wps AP Aumentar Sinal,"R$ 49,90",3,https://www.buscape.com.br/modem-e-roteador/roteador-repetidor-sinal-wifi-300mbps-wps-ap-aumentar-sinal,
Repetidor Wi-Fi Mini Roteador Wireless 4 Antenas 2800M,"R$ 72,78",3,https://www.buscape.com.br/modem-e-roteador/repetidor-wi-fi-mini-roteador-wireless-4-antenas-2800m,
DIR-859,"R$ 419,00",3,https://www.buscape.com.br/modem-e-roteador/roteador-1750-mbps-d-link-dir-859,D-Link
Repetidor De Sinal WiFi Wireless-N Logo Alcance,"R$ 72,07",2,https://www.buscape.com.br/modem-e-roteador/repetidor-de-sinal-wifi-wireless-n-logo-alcance,
Uap-Ac Pro BR,"R$ 1.321,17",2,https://www.buscape.com.br/modem-e-roteador/access-point-1750-mbps-ubiquiti-uap-ac-pro-br,Ubiquiti
Tp-Link Deco M5 Whole-Home Wi-Fi Ac1300 Dual Band 3Pack**,"R$ 1.359,12",,https://www.buscape.com.br/modem-e-roteador/tp-link-deco-m5-whole-home-wi-fi-ac1300-dual-band-3pack,
Archer C20,"R$ 102,40",,https://www.buscape.com.br/modem-e-roteador/roteador-733-mbps-archer-c20-tp-link,TP-Link
Ubiquiti Ap Unifi Uap-Ac-Lr Mimo 2.4 / 5.0Ghz 450 / 867Mbps,"R$ 1.436,82",,https://www.buscape.com.br/modem-e-roteador/ubiquiti-ap-unifi-uap-ac-lr-mimo-2-4-5-0ghz-450-867mbps,
HotSpot 300,"R$ 192,60",,https://www.buscape.com.br/modem-e-roteador/roteador-300-mbps-intelbras-hotspot,Intelbras
RE018,"R$ 99,90",,https://www.buscape.com.br/modem-e-roteador/roteador-1200-mbps-multilaser-re018-2-4ghz-5-0ghz-dual-band,Multilaser
Central Pabx Básica Rack Xip-270 Até 322 Portas - Digistar,"R$ 8.567,00",,https://www.buscape.com.br/modem-e-roteador/central-pabx-basica-rack-xip-270-ate-322-portas-digistar,
Kit 2 Antenas Intelbras Roteador Wireless 16dbi Wom 5a Mimo,"R$ 916,00",,https://www.buscape.com.br/modem-e-roteador/kit-2-antenas-intelbras-roteador-wireless-16dbi-wom-5a-mimo,
Roteador Sem Fio Hotspot Gigabit 1200Mbps Dual Band W18e,"R$ 630,02",,https://www.buscape.com.br/modem-e-roteador/roteador-sem-fio-hotspot-gigabit-1200mbps-dual-band-w18e,
Roteador Wireless Tp-Link 450N 3 Antenas 5 Dbi - Tl-Wr940N,"R$ 299,99",,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-tp-link-450n-3-antenas-5-dbi-tl-wr940n,
Roteador Tp-Link Tl-Wr841Hp Wireless N 300Mbps Bivolt ,"R$ 386,74",,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-tl-wr841hp-wireless-n-300mbps-bivolt,
Repetidor De Sinal Wi-fi Repeater 300mbps Bivolt,"R$ 131,57",,https://www.buscape.com.br/modem-e-roteador/repetidor-de-sinal-wi-fi-repeater-300mbps-bivolt,
"Extensor de alcance WiFi 300M, amplificador de sinal WiFi e repetidor / amplificador sem fio","R$ 157,05",,https://www.buscape.com.br/modem-e-roteador/extensor-de-alcance-wifi-300m-amplificador-de-sinal-wifi-e-repetidor-amplificador-sem-fio,
Roteador Netgear Nighthawk Ac1900 Dual-Band Wi-Fi Range,"R$ 4.872,93",,https://www.buscape.com.br/modem-e-roteador/roteador-netgear-nighthawk-ac1900-dual-band-wi-fi-range,
Roteador Tplink 450mbps 3 Antenas 5dbi 2.4ghz Tl-wr949n,"R$ 202,80",,https://www.buscape.com.br/modem-e-roteador/roteador-tplink-450mbps-3-antenas-5dbi-2-4ghz-tl-wr949n,
Wireless Access Flexibility,"R$ 441,38",,https://www.buscape.com.br/modem-e-roteador/wireless-access-flexibility,
Roteador Wireless Repetidor Wifi C/longo Alcance De Sinal,"R$ 77,67",,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-repetidor-wifi-c-longo-alcance-de-sinal,
Roteador Tp-Link Tl-Mr3420 De 300Mbps Com 2 Antenas/Bivolt - ,"R$ 292,02",,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-tl-mr3420-de-300mbps-com-2-antenas-bivolt,
Repetidor De Sinal Wireless-n 300 Mbps 4 Antenas - Lv-wr09,"R$ 185,40",,https://www.buscape.com.br/modem-e-roteador/repetidor-de-sinal-wireless-n-300-mbps-4-antenas-lv-wr09,
Roteador Access Point AP1350 Corporativo,"R$ 1.260,97",,https://www.buscape.com.br/modem-e-roteador/roteador-access-point-ap1350-corporativo,
Access Point Corporativo Intelbras AP 360 4750009,"R$ 639,90",,https://www.buscape.com.br/modem-e-roteador/access-point-corporativo-intelbras-ap-360-4750009,
Roteador TP Link WR840N 6.0 300Mbps,"R$ 139,40",,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-wr840n-6-0-300mbps,
Roteador Linksys Max-Stream Ac1900 Dual Band Repeater,"R$ 3.254,43",,https://www.buscape.com.br/modem-e-roteador/roteador-linksys-max-stream-ac1900-dual-band-repeater,
Wifi repetidor amplificador de sinal Extender Long Range Signal Booster 150Mbps de rede 802.11n / b / g sinal Repetidor,"R$ 276,70",,https://www.buscape.com.br/modem-e-roteador/wifi-repetidor-amplificador-de-sinal-extender-long-range-signal-booster-150mbps-de-rede-802-11n-b-g-sinal-repetidor,
