model,price,reviews,sells,url,vendor
Deco,1369,(108),1916,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-access-point-roteador-wmm-tp-link-deco-deco-m5-v3-branco-220v-3-unidades/p/MLB18384167?pdp_filters=category:MLB5867,TP-Link
UniFi,651.20,(581),32819,https://www.mercadolivre.com.br/access-point-indoor-wmm-ubiquiti-unifi-ac-lite-ap-uap-ac-lite-branco-220v/p/MLB6186905?pdp_filters=category:MLB5867,Ubiquiti
Cosmo,277,(469),6927,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-multilaser-cosmo-re010-branco-2-unidades/p/MLB15345756?pdp_filters=category:MLB5867,Multilaser
Wi-Fi repeater,72.80,(116),3877,https://produto.mercadolivre.com.br/MLB-1631567961-repetidor-amplificador-extensor-de-sinal-600mbps-barato-_JM,Wireless-n Repeater
Mi,168,(39),1072,https://www.mercadolivre.com.br/access-point-range-extender-xiaomi-mi-ra75-preto-100v240v/p/MLB18520062?pdp_filters=category:MLB5867,Xiaomi
Omada,687.66,(20),1135,https://www.mercadolivre.com.br/access-point-outdoor-wmm-tp-link-omada-eap225-outdoor-v1-branco-220v/p/MLB18459896?pdp_filters=category:MLB5867,TP-Link
AW77,185.10,(11),428,https://produto.mercadolivre.com.br/MLB-2750074761-repetidor-wireless-5g-roteador-potente-wifi-5ghz-sem-fio-24-_JM,Altom Premium
Archer,340,(543),9722,https://www.mercadolivre.com.br/access-point-roteador-tp-link-archer-c80-v1-preto-220v/p/MLB15904250?pdp_filters=category:MLB5867,TP-Link
MR50G,250.85,(170),3236,https://www.mercadolivre.com.br/access-point-roteador-mercusys-mr50g-v1-preto-100v240v/p/MLB16181780?pdp_filters=category:MLB5867,Mercusys
Deco M4,675,(648),6120,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m4-branco-100v240v-2-unidades/p/MLB16001437?pdp_filters=category:MLB5867,TP-Link
MW301R,64.92,(1268),73931,https://www.mercadolivre.com.br/roteador-mercusys-mw301r-v1-branco-220v/p/MLB11426701?pdp_filters=category:MLB5867,Mercusys
Archer,137,(5532),34192,https://www.mercadolivre.com.br/roteador-tp-link-archer-c20-azul-e-branco-100v240v/p/MLB6186907?pdp_filters=category:MLB5867,TP-Link
DIR-842,198,(816),23132,https://www.mercadolivre.com.br/roteador-repetidor-sistema-wi-fi-mesh-access-point-wisp-d-link-dir-842-preto-100v240v/p/MLB15994670?pdp_filters=category:MLB5867,D-Link
TL-WR949N,169.15,(2462),19383,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr949n-preto/p/MLB9141025?pdp_filters=category:MLB5867,TP-Link
Omada,210.93,(48),2255,https://www.mercadolivre.com.br/access-point-indoor-tp-link-omada-eap110-branco/p/MLB15354537?pdp_filters=category:MLB5867,TP-Link
AX3 Quad-Core,408,(253),4291,https://www.mercadolivre.com.br/roteador-huawei-ax3-quad-core-branco-100v240v/p/MLB17474302?pdp_filters=category:MLB5867,Huawei
EC220-G5,240.19,(482),14817,https://www.mercadolivre.com.br/roteador-tp-link-ec220-g5-branco-110v220v/p/MLB16268838?pdp_filters=category:MLB5867,TP-Link
RE200,180.50,(93),2061,https://www.mercadolivre.com.br/access-point-range-extender-wmm-tp-link-re200-v5-branco-220v/p/MLB18243252?pdp_filters=category:MLB5867,TP-Link
Mi,89.99,(1074),23360,https://www.mercadolivre.com.br/repetidor-range-extender-xiaomi-mi-wi-fi-range-extender-pro-r03-preto-100v240v/p/MLB10448369?pdp_filters=category:MLB5867,Xiaomi
TL-WR829N,87.50,(470),21597,https://www.mercadolivre.com.br/access-point-roteador-range-extender-wisp-tp-link-tl-wr829n-branco/p/MLB16067272?pdp_filters=category:MLB5867,TP-Link
Archer,179.22,(1235),26575,https://www.mercadolivre.com.br/roteador-access-point-wds-bridge-wmm-tp-link-archer-c50-v4-branco-220v/p/MLB15304684?pdp_filters=category:MLB5867,TP-Link
Mi,168,(39),1072,https://www.mercadolivre.com.br/access-point-range-extender-xiaomi-mi-ra75-preto-100v240v/p/MLB18520062?pdp_filters=item_id:MLB2214498728,Xiaomi
TL-WA850RE,128.88,(8811),99314,https://www.mercadolivre.com.br/repetidor-tp-link-tl-wa850re-branco-220v/p/MLB6186903?pdp_filters=category:MLB5867,TP-Link
TL-WR840N,101,(2505),65991,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr840n-branco/p/MLB15314118?pdp_filters=category:MLB5867,TP-Link
DR4 300M,44.19,(1390),46773,https://www.mercadolivre.com.br/repetidor-dhj-dr4-300m-branco-110v220v/p/MLB17289456?pdp_filters=category:MLB5867,DHJ
TL-WA850RE,155.99,(8811),11,https://produto.mercadolivre.com.br/MLB-2612993206-repetidor-de-sinal-wifi-wireless-tp-link-tl-wa850re-300mbps-_JM,TP-Link
Deco,675,(648),1,https://produto.mercadolivre.com.br/MLB-2810943206-roteador-tp-link-sistema-wi-fi-mesh-ac1200-deco-m4-2-pack-_JM,TP-Link
Deco,2798,(58),4,https://produto.mercadolivre.com.br/MLB-2029261310-roteador-mesh-tp-link-deco-x20-ax1800-wi-fi-6-3-pack-3-pecas-_JM,TP-Link
Deco,1900,(1235),1,https://produto.mercadolivre.com.br/MLB-1920894235-access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m5-_JM,TP-Link
MW301R,99,(786),12,https://produto.mercadolivre.com.br/MLB-1486892792-roteador-wireles-wifi-sem-fio-mw301r-300mbps-2-antenas-_JM,Mercusys
TL-WA855RE,213.90,(1816),1,https://produto.mercadolivre.com.br/MLB-2065635724-repetidor-e-extensor-de-sinal-wifi-tp-link-tl-wa855re-300mbp-_JM,TP-Link
Archer,285.60,(6703),2,https://produto.mercadolivre.com.br/MLB-2742638365-roteador-wireless-tp-link-archer-c60-dual-band-ac1350-branco-_JM,TP-Link
Twibi Giga,475,(454),1,https://produto.mercadolivre.com.br/MLB-2048521305-roteador-wi-fi-mesh-intelbras-twibi-giga-branco-101001000-_JM,Intelbras
RE305,306.24,(738),5,https://produto.mercadolivre.com.br/MLB-2029113945-repetidor-tp-link-re305-wi-fi-dual-band-extensor-sem-fio-_JM,TP-Link
Archer,222.10,(1644),4,https://produto.mercadolivre.com.br/MLB-2627219618-roteador-tplink-archer-c20w-wifi-ac-750mbps-3-antenas-_JM,TP-Link
Twibi Giga,492.34,(312),1,https://produto.mercadolivre.com.br/MLB-2079109271-roteador-modulo-wifi-mesh-twibi-giga-intelbras-_JM,Intelbras
AP 1350 AC,1299.90,(18),3,https://produto.mercadolivre.com.br/MLB-2737318147-access-point-roteador-wireless-corp-ap-1350ac-s-intelbras-_JM,Intelbras
TL-WR829N,99,(470),3,https://produto.mercadolivre.com.br/MLB-2735010235-roteador-wireless-multimodo-tp-link-300-mbps-tl-wr829n-_JM,TP-Link
Deco,898,(449),24,https://produto.mercadolivre.com.br/MLB-1725166311-roteador-wifi-mesh-tp-link-deco-e4-dual-band-1200mbps-pack-3-_JM,TP-Link
Deco,1535,(108),12,https://produto.mercadolivre.com.br/MLB-1587073155-roteador-tp-link-deco-m5-3-pack-mesh-ac1300-p-entrega-sp-_JM,TP-Link
LV-WR09,105,(423),12,https://produto.mercadolivre.com.br/MLB-2691568759-repetidor-wifi-4-antenas-amplificador-de-sinal-2800m-router-_JM,Pix-Link
Archer,345.21,(1616),5,https://produto.mercadolivre.com.br/MLB-2674729060-roteador-tp-link-archer-c6-ac1200-wireless-gigabite-dual-_JM,TP-Link
COVR-1102,439,(146),7,https://produto.mercadolivre.com.br/MLB-2178316628-roteador-d-link-mesh-covr-1102-ac1200-giga-dual-band-2und-br-_JM,D-Link
TL-WA850RE,155,(8811),45,https://produto.mercadolivre.com.br/MLB-740997335-repetidor-wireless-300mbps-tp-link-tl-wa850re-expansor-wifi-_JM,TP-Link
DAP-1325,134.99,(362),1,https://produto.mercadolivre.com.br/MLB-2820564569-repetidor-wifi-dlink-dap-1325-wireless-mesh-rj45-bivolt-_JM,D-Link
LV-WR08,119.99,(240),181,https://produto.mercadolivre.com.br/MLB-1511109984-roteador-wireless-wifi-sem-fio-pixlink-300mbps-4-antenas-_JM,Pix-Link
RE057,109.99,(70),4,https://produto.mercadolivre.com.br/MLB-1731819487-roteador-multilaser-wireless-150mbps-re057-_JM,Multilaser
Link 3G,890,(31),435,https://produto.mercadolivre.com.br/MLB-1524487424-kit-link-rural-elsys-intenet-3g-roteador-cabos-e-antena-_JM,Elsys
MW3,542,(164),3,https://produto.mercadolivre.com.br/MLB-2647952929-roteador-wi-fi-mesh-mw3-ac1200-tenda-3-unidades-_JM,Tenda
MW301R,120.49,(1268),1,https://produto.mercadolivre.com.br/MLB-1933647237-roteador-mercusys-wireless-n-300mbps-mw301r-nf-e-_JM,Mercusys
DIR-503A,59.90,(4),8,https://produto.mercadolivre.com.br/MLB-2042461662-repetidor-de-sinal-wifi-d-link-dir-503a-wireless-150mbps-_JM,D-Link
RE018,146.07,(521),1,https://produto.mercadolivre.com.br/MLB-2670558972-roteador-wifi-multilaser-wireless-4-antenas-dual-24ghz-_JM,Multilaser
MW300RE,105.90,(192),35,https://produto.mercadolivre.com.br/MLB-1744602497-repetidor-mercusys-wi-fi-300mbps-mw300re-_JM,Mercusys
WIN 240,93,(24),1,https://produto.mercadolivre.com.br/MLB-2792735749-roteador-wireless-intelbras-win-240-novo-_JM,Intelbras
WR09,124.90,(5),51,https://produto.mercadolivre.com.br/MLB-1663342981-repetidor-wifi-4-antenas-amplificador-de-sinal-2800m-_JM,Paizao Store
Deco,2782.94,(27),16,https://produto.mercadolivre.com.br/MLB-2066372337-roteador-tp-link-deco-m9-plus-3-un-mesh-ac2200-tri-band-v2-_JM,TP-Link
RE163,139.70,(1556),4,https://produto.mercadolivre.com.br/MLB-697622335-roteador-wifi-wireless-300-mbps-3-antenas-re163-_JM,Multilaser
AC1750,548,(1152),29,https://produto.mercadolivre.com.br/MLB-1398564577-repetidor-de-sinal-tp-link-re450-1750mbps-wifi-ac-dual-band-_JM,TP-Link
Archer,1280,(69),9,https://produto.mercadolivre.com.br/MLB-1968845947-roteador-wifi-6-gigabit-ax5400-dual-band-archer-ax73-_JM,TP-Link
ACtion,244,(1809),343,https://produto.mercadolivre.com.br/MLB-1354471816-roteador-wireless-action-intelbras-rf-1200-smart-dual-band-_JM,Intelbras
MW3,525.90,(164),17,https://produto.mercadolivre.com.br/MLB-1805099071-kit-2-roteadores-wi-fi-tenda-nova-mw3-rede-mesh-ac1200-mbps-_JM,Tenda
Archer,659.99,(185),4,https://produto.mercadolivre.com.br/MLB-1697220384-tp-link-archer-ax50-router-ax3000-wifi-6-dual-band-onemesh-_JM,TP-Link
MW325R,169.90,(245),8,https://produto.mercadolivre.com.br/MLB-1120102546-roteador-wireless-300-mbps-c-4-antenas-fixas-mercusys-_JM,Mercusys
TL-WR820N,142.97,(8),11,https://produto.mercadolivre.com.br/MLB-1264371107-roteador-tp-link-tl-wr820n-wireless-300mbps-2-antenas-2lan-_JM,TP-Link
AP 1750 AC,1458.90,(15),16,https://produto.mercadolivre.com.br/MLB-1502043758-roteadoracess-point-corporativo-ap-1750-ac-intelbras-_JM,Intelbras
EPRL12,739.20,(12),156,https://produto.mercadolivre.com.br/MLB-1397698675-link-4g-amplimax-elsys-internet-e-celular-rural-cabo-20-mt-_JM,Elsys
EPRL12,629,(19),269,https://produto.mercadolivre.com.br/MLB-1252069326-roteador-externo-4g-3g-2g-amplimax-elsys-_JM,Elsys
GF 1200,291.80,(175),21,https://produto.mercadolivre.com.br/MLB-1973500114-roteador-intelbras-wi-fi-5-dual-band-ac-gf1200-preto-bivolt-_JM,Intelbras
AC120,141.84,(43),8,https://produto.mercadolivre.com.br/MLB-2169843417-roteador-mercusys-wireless-dual-band-ac120-_JM,Mercusys
Mi,89.99,(1074),52,https://produto.mercadolivre.com.br/MLB-1809772867-repetidor-xiaomi-mi-pro-300m-preto-_JM,Xiaomi
TL-WR829N,99,(470),11,https://produto.mercadolivre.com.br/MLB-2755196130-roteador-wireless-4-em-1-tl-wr829n-bivolt-2-antenas-tplink-_JM,TP-Link
Deco,529,(1235),6,https://produto.mercadolivre.com.br/MLB-2669858197-access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m5-_JM,TP-Link
Mi,118.62,(1074),14,https://produto.mercadolivre.com.br/MLB-1923450623-repetido-roteador-wifi-xiaomi-pro-original-frete-gratis-cnf-_JM,Xiaomi
TL-WA850RE,179.90,(4936),8,https://produto.mercadolivre.com.br/MLB-1485222771-repetidor-de-sinal-wi-fi-tl-wa850re-300mbps-tp-link-_JM,TP-Link
Mi,109.99,(1074),6,https://produto.mercadolivre.com.br/MLB-2011192356-repetidor-xiaomi-mi-pro-300m-preto-100v240v-_JM,Xiaomi
RE505X,539,(30),3,https://produto.mercadolivre.com.br/MLB-2018698535-range-extender-tp-link-re505x-branco-_JM,TP-Link
TL-MR3420,215,(47),7,https://produto.mercadolivre.com.br/MLB-1786372151-roteador-wireless-3g4g-300mbps-tp-link-tl-mr3420-_JM,TP-Link
RE450,440,(1152),8,https://produto.mercadolivre.com.br/MLB-1065338988-extensor-de-alcance-tplink-re450-1750mbps-repetidor-wifi-ac-_JM,TP-Link
Twibi Giga+,423.04,(312),4,https://produto.mercadolivre.com.br/MLB-1816226561-roteador-wi-fi-5-mesh-twib-giga-intelbras-_JM,Intelbras
MW3,379,(164),6,https://produto.mercadolivre.com.br/MLB-2682361241-sistema-wi-fi-mesh-tenda-mw3-branco-100v240v-2-unidades-_JM,Tenda
Deco,499.99,(1235),5,https://produto.mercadolivre.com.br/MLB-2759726375-access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m5-_JM,TP-Link
Mi,89,(1074),2,https://produto.mercadolivre.com.br/MLB-2802570288-repetidor-xiaomi-mi-wi-fi-extensor-pro-r03-preto-100v240v-_JM,Xiaomi
Mi,99.49,(1074),58,https://produto.mercadolivre.com.br/MLB-1236641359-xiaomi-pro-300m-repetidor-wifi-amplificador-adaptador-ac-_JM,Xiaomi
Mi,99.99,(1074),5,https://produto.mercadolivre.com.br/MLB-2620202114-repetidor-range-extender-xiaomi-mi-wi-fi-range-pro-100v240-_JM,Xiaomi
Repitidor 4 Antenas,83.99,(5358),9,https://produto.mercadolivre.com.br/MLB-2730832253-repetidor-wifi-4-antenas-amplificador-de-sinal-500mbs-link-_JM,Pix-Link
300MPS,79,(50),711,https://produto.mercadolivre.com.br/MLB-1411662622-repetidor-de-sinal-wifi-t90-300mb-wireless-pronta-entrega-_JM,Wi-Fi Repetidor
EC220-G5,318,(482),66,https://produto.mercadolivre.com.br/MLB-1854302933-roteador-wi-fi-tp-link-ac1200-ec220-g5-gigabit-1200mbps-_JM,TP-Link
Nova MW3,505.99,(15),117,https://produto.mercadolivre.com.br/MLB-1281985970-roteador-wireless-tenda-mw3-ac-1200mbps-sistema-mesh-original-lacrado-c-garantia-_JM,Tenda
Deco M5,567.91,(141),1,https://produto.mercadolivre.com.br/MLB-1938383881-roteador-tp-link-wireless-ac1300-cx-1-un-deco-m5-_JM,TP-Link
RT-AC59U,377.52,(105),3,https://produto.mercadolivre.com.br/MLB-2774375472-roteador-wireless-asus-ac1500-gigabit-dualband-rt-ac59u-v2-_JM,Asus
Deco,2097.90,(1235),1,https://produto.mercadolivre.com.br/MLB-1676914734-kit-3-pecas-repetidor-gigabit-wi-fi-deco-m5-ac1300-tplink-_JM,TP-Link
TL-WA855RE,175.90,(845),141,https://produto.mercadolivre.com.br/MLB-1182215378-repetidor-extensor-wi-fi-2-antenas-tp-link-_JM,TP-Link
Wireless N,70,(211),11,https://produto.mercadolivre.com.br/MLB-2735490861-roteador-d-link-wireless-n-dir-815-preto-_JM,D-Link
TL-WA850RE,148,(8811),1,https://produto.mercadolivre.com.br/MLB-1743476012-repetidor-sinal-wi-fi-300mbps-tplink-tl-wa850re-_JM,TP-Link
TL-WPA4220Tv3.0,588,(4),111,https://produto.mercadolivre.com.br/MLB-1737347924-pack-3-extensor-sinal-wi-fi-powerline-tp-link-av600-wpa4220-_JM,TP-Link
AC8,322.24,(43),2,https://produto.mercadolivre.com.br/MLB-1811796646-roteador-wifi-fast-4-antenas-dual-band-ac8-1200-tenda-_JM,Tenda
Repetidor 4 Antenas,98,(39),654,https://produto.mercadolivre.com.br/MLB-1817949069-repetidor-wi-fi-mini-roteador-wireless-4-antenas-2800m-_JM,IMPORTADS
TL-MR3420,215,(47),1,https://produto.mercadolivre.com.br/MLB-1872557643-roteador-wireless-n-300mbps-3g4g-tl-mr3420-_JM,TP-Link
Deco,472,(1235),24,https://produto.mercadolivre.com.br/MLB-1833384108-access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m5-_JM,TP-Link
Deco,1477.35,(1235),233,https://produto.mercadolivre.com.br/MLB-1368955176-roteador-tp-link-wireless-ac1300-cx-3-un-deco-m5-_JM,TP-Link
Deco,980,(108),1,https://produto.mercadolivre.com.br/MLB-1693647763-roteador-tp-link-deco-m5-branco-100v240v-2-unidades-c-nfe-_JM,TP-Link
TL-WA850RE,172.60,(8811),5,https://produto.mercadolivre.com.br/MLB-1480140579-repetidor-de-sinal-wifi-wireless-tp-link-300mbps-850re-_JM,TP-Link
ACtion,213.74,(1809),14,https://produto.mercadolivre.com.br/MLB-1970440866-roteador-intelbras-rf1200-wireless-action-smart-dual-band-_JM,Intelbras
Twibi Fast,645.90,(339),3,https://produto.mercadolivre.com.br/MLB-1700570027-roteador-sistema-wi-fi-mesh-intelbras-twibi-fast-2unidade-_JM,Intelbras
DR4 300M,60.91,(1390),244,https://produto.mercadolivre.com.br/MLB-1895654385-repetidor-wireless-de-sinal-wifi-amplificador-300mbps-nf-_JM,DHJ
ACtion,196,(1809),55,https://produto.mercadolivre.com.br/MLB-1909824882-roteador-wireless-intelbras-action-rf-1200-preto-100v240v-_JM,Intelbras
DR4 300M,57.90,(1390),12,https://produto.mercadolivre.com.br/MLB-1895283957-repetidor-wireless-barato-envio-em-24h-pronta-entrega-nf-_JM,DHJ
Deco,1418,(108),5,https://produto.mercadolivre.com.br/MLB-2214050596-roteador-repetidor-tp-link-deco-m5-ac1300-cx-3-un-_JM,TP-Link
TL-WPA4220,538,(811),11,https://produto.mercadolivre.com.br/MLB-2022821987-pack-3-extensor-sinal-wi-fi-powerline-tp-link-av600-wpa4220-_JM,TP-Link
TL-WR949N,265.59,(2462),1,https://produto.mercadolivre.com.br/MLB-2752184872-roteador-amplificador-de-sinal-wifi-tp-link-wr949n-_JM,TP-Link
LV-WR09,96,(423),4,https://produto.mercadolivre.com.br/MLB-2061432037-repetidor-wifi-2800m-4-antenas-amplificador-de-sinal-lv-wr09-_JM,Pix-Link
Cosmo,379.99,(413),8,https://produto.mercadolivre.com.br/MLB-2071060605-roteador-multilaser-mesh-cosmo-ac1200-2-pecas-re010-_JM,Multilaser
Twibi Fast,259.99,(339),2,https://produto.mercadolivre.com.br/MLB-1759093711-roteador-wi-fi-mesh-intelbras-twibi-fast-longo-alcance-4904-_JM,Intelbras
"Roteador Wifi, 4 Portas , Roteador , Roteador Wi Fi , Repetidor de Sinais , Repetior Wifi, IPV6, 1200AC",392.49,(64),44,https://produto.mercadolivre.com.br/MLB-2166541110-repetidor-wi-fi-4-portas-101001000-ipv6-1200ac-greatek-_JM,Greatek
Deco,1694.94,(1235),13,https://produto.mercadolivre.com.br/MLB-1643381637-roteador-wireless-deco-m5-ac1300-tp-link-decom5-_JM,TP-Link
