vendor,model,price,reviews,sells,url
TP-Link,Archer c5,276,349,4285,https://www.mercadolivre.com.br/roteador-tp-link-archer-c5-v4-branco/p/MLB15982162?pdp_filters=category:MLB5867
Intelbras,Kit Twibi Fast,342,347,6487,https://www.mercadolivre.com.br/roteador-sistema-wi-fi-mesh-intelbras-kit-twibi-fast-branco-110v220v-2-unidades/p/MLB15304687?pdp_filters=category:MLB5867
Multilaser,RE163V,96.4,336,10438,https://www.mercadolivre.com.br/roteador-multilaser-re163v-branco/p/MLB15305518?pdp_filters=category:MLB5867
TP-Link,Archer,169,330,4872,https://www.mercadolivre.com.br/roteador-wds-bridge-wmm-tp-link-archer-c20-v4-azul-e-branco-220v/p/MLB15910231?pdp_filters=category:MLB5867
Intelbras,Twibi Fast,179,329,6987,https://www.mercadolivre.com.br/roteador-sistema-wi-fi-mesh-intelbras-twibi-fast-4750070-branco-100v240v/p/MLB15392880?pdp_filters=category:MLB5867
Intelbras,Action r1200,189.99,325,4895,https://www.mercadolivre.com.br/roteador-intelbras-action-r1200-preto-110v220v/p/MLB10503881?pdp_filters=category:MLB5867
Multilaser,RE160V,57.8,311,9096,https://www.mercadolivre.com.br/roteador-multilaser-re160v-branco-110v240v/p/MLB15382479?pdp_filters=category:MLB5867
Ubiquiti,UniFi,1240,299,16310,https://www.mercadolivre.com.br/access-point-outdoor-access-point-indoor-ubiquiti-unifi-ac-pro-ap-uap-ac-pro-branco/p/MLB6322228?pdp_filters=category:MLB5867
Ubiquiti,UniFi,653,289,3073,https://www.mercadolivre.com.br/access-point-indoor-wmm-ubiquiti-unifi-uap-lr-branco-220v/p/MLB6235090?pdp_filters=category:MLB5867
D-Link,DIR-841,199.99,277,11973,https://www.mercadolivre.com.br/roteador-d-link-dir-841-preto/p/MLB15910475?pdp_filters=category:MLB5867
Xiaomi,Mi,146,262,5740,https://www.mercadolivre.com.br/roteador-xiaomi-mi-4a-branco-110v240v/p/MLB15314790?pdp_filters=category:MLB5867
Mercusys,MW330HP,154.9,252,4667,https://www.mercadolivre.com.br/roteador-mercusys-mw330hp-preto/p/MLB15315978?pdp_filters=category:MLB5867
Mercusys,941hp,203.84,252,949,https://produto.mercadolivre.com.br/MLB-1280871733-roteador-wireless-wifi-tp-link-mercusys-quebra-parede-alta-potencia-1000mw-n-941hp-envios-24hs-_JM
TP-Link,AC1200,241.08,248,28,https://produto.mercadolivre.com.br/MLB-2612134949-roteador-wireless-dual-band-ac1200-gigabit-_JM
Unifi,Uap-ac-lite,839.9,240,868,https://produto.mercadolivre.com.br/MLB-1575384044-unifi-indoor-uap-ac-lite-mimo-2450ghz-300867mbps-_JM
Mercusys,MW325R,112.11,235,3728,https://www.mercadolivre.com.br/roteador-mercusys-mw325r-v1-branco-100v240v/p/MLB9373592?pdp_filters=category:MLB5867
TP-Link,Archer,299,233,226,https://www.mercadolivre.com.br/roteador-tp-link-archer-c2-preto/p/MLB6074299?pdp_filters=category:MLB5867
D-Link,DIR-846,229.16,231,4046,https://www.mercadolivre.com.br/roteador-d-link-dir-846-preto-100v240v/p/MLB15845424?pdp_filters=category:MLB5867
TP-Link,TL-PA4010,297,214,744,https://www.mercadolivre.com.br/adaptador-powerline-tp-link-tl-pa4010-branco/p/MLB6248462?pdp_filters=category:MLB5867
TP-Link,Archer,635,211,168,https://www.mercadolivre.com.br/access-point-roteador-tp-link-archer-c8-branco/p/MLB6074301?pdp_filters=category:MLB5867
Tenda,AC11,343,210,2064,https://www.mercadolivre.com.br/roteador-tenda-ac11-preto-100v240v/p/MLB14743309?pdp_filters=category:MLB5867
ZTE,MF253,513,206,1707,https://www.mercadolivre.com.br/roteador-zte-mf253-branco/p/MLB6079834?pdp_filters=category:MLB5867
Huawei,AX3 Quad-Core,400,202,3211,https://www.mercadolivre.com.br/roteador-huawei-ax3-quad-core-branco-100v240v/p/MLB17474302?pdp_filters=category:MLB5867
TP-Link,TL-R480T+,324,197,1879,https://www.mercadolivre.com.br/roteador-tp-link-tl-r480t-preto-100v240v/p/MLB7868093?pdp_filters=item_id:MLB1900504198
MikroTik,RouterBOARD,328,193,5430,https://www.mercadolivre.com.br/roteador-mikrotik-routerboard-hex-lite-rb750r2-branco-e-azul-turquesa-100v240v/p/MLB6078627?pdp_filters=category:MLB5867
TP-Link,Tl-mr3020,177.88,191,1147,https://produto.mercadolivre.com.br/MLB-713548898-mini-roteador-3g4g-wireless-portatil-tp-link-tl-mr3020-wifi-_JM
Mercusys,MW300RE,80,184,3635,https://www.mercadolivre.com.br/range-extender-mercusys-mw300re-v1-branco-220v/p/MLB15343063?pdp_filters=category:MLB5867
Mercusys,AC12,197,180,6709,https://www.mercadolivre.com.br/roteador-mercusys-ac12-preto/p/MLB15305046?pdp_filters=category:MLB5867
TP-Link,Archer ax50,630,180,2666,https://www.mercadolivre.com.br/roteador-access-point-tp-link-archer-ax50-v1-preto-220v/p/MLB15388285?pdp_filters=category:MLB5867
Pix-Link,LV-WR08,109.89,178,5933,https://www.mercadolivre.com.br/roteador-pix-link-lv-wr08-branco/p/MLB15305515?pdp_filters=category:MLB5867
TP-Link,RE200,184.27,176,2889,https://www.mercadolivre.com.br/range-extender-tp-link-re200-v1-branco-220v/p/MLB18235365?pdp_filters=category:MLB5867
TP-Link,TL-WR841N,119,176,535,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr841n-branco/p/MLB7868090?pdp_filters=category:MLB5867
Huawei,WS5200,237,174,7054,https://www.mercadolivre.com.br/roteador-huawei-ws5200-branco-100v240v/p/MLB16217059?pdp_filters=category:MLB5867
TP-Link,Archer AX10,453,162,2907,https://www.mercadolivre.com.br/roteador-wmm-tp-link-archer-ax10-v120-preto-220v/p/MLB18375011?pdp_filters=category:MLB5867
Tenda,nova MW6,1005,160,1918,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-tenda-nova-mw6-branco-110v240v-3-unidades/p/MLB16050356?pdp_filters=category:MLB5867
Tenda,Archer C6,346.06,158,2294,https://produto.mercadolivre.com.br/MLB-1299074713-roteador-tp-link-wireless-gigabit-mu-mimo-ac1200-archer-c6-_JM
MikroTik,RouterBOARD,599,156,6785,https://www.mercadolivre.com.br/roteador-mikrotik-routerboard-hex-s-rb760igs-cinza-100v240v/p/MLB10609285?pdp_filters=category:MLB5867
Linksys,E900,78,155,724,https://www.mercadolivre.com.br/roteador-linksys-e900-preto-100v240v/p/MLB7868089?pdp_filters=category:MLB5867
D-Link,DIR-853,270,151,2782,https://www.mercadolivre.com.br/roteador-d-link-dir-853-preto-100v240v/p/MLB15971280?pdp_filters=category:MLB5867
Tenda,MW3,408.5,149,1858,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-tenda-mw3-branco-100v240v/p/MLB15315892?pdp_filters=category:MLB5867
TP-Link,Archer c6,331.53,147,2,https://produto.mercadolivre.com.br/MLB-2674729060-roteador-tp-link-archer-c6-ac1200-wireless-gigabite-dual-_JM
Intelbras,GF 1200,194.9,145,3830,https://www.mercadolivre.com.br/roteador-intelbras-gf-1200-preto-100v240v/p/MLB15845426?pdp_filters=category:MLB5867
TP-Link,TL-WPA4220KIT,441.39,144,684,https://www.mercadolivre.com.br/adaptador-powerline-tp-link-tl-wpa4220kit-v5-branco-220v-2-unidades/p/MLB18428217?pdp_filters=category:MLB5867
Mercusys,MR50G,267,141,2651,https://www.mercadolivre.com.br/access-point-roteador-mercusys-mr50g-v1-preto-100v240v/p/MLB16181780?pdp_filters=category:MLB5867
Intelbras,AP 360,387,140,5569,https://www.mercadolivre.com.br/access-point-indoor-intelbras-ap-360-branco-110v220v/p/MLB8970695?pdp_filters=category:MLB5867
Oster,BVSTDCDW12,184.28,138,1134,https://www.mercadolivre.com.br/cafeteira-portatil-oster-bvstdcdw12-semi-automatica-vermelha-de-filtro-120v-127v/p/MLB9609767?pdp_filters=category:MLB5867
MikroTik,The 4011 Series,1390,137,4855,https://www.mercadolivre.com.br/roteador-bridge-mikrotik-the-4011-series-rb4011igsrm-preto-100v240v/p/MLB14743213?pdp_filters=category:MLB5867
D-Link,COVR-1102,425,136,2958,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-d-link-covr-1102-branco-100v240v-2-unidades/p/MLB16927155?pdp_filters=category:MLB5867
Asus,RT-AC51U,179,135,681,https://www.mercadolivre.com.br/access-point-roteador-asus-rt-ac51u-preto-110v240v/p/MLB6353005?pdp_filters=category:MLB5867
MikroTik,RB941-2nD,198,127,3160,https://www.mercadolivre.com.br/access-point-mikrotik-routerboard-hap-lite-rb941-2nd-azul-e-branco/p/MLB6186909?pdp_filters=category:MLB5867
MikroTik,BaseBox 5,720,122,3429,https://www.mercadolivre.com.br/access-point-outdoor-mikrotik-routerboard-basebox-5-rb912uag-5hpnd-out-branco-100v240v/p/MLB6364658?pdp_filters=category:MLB5867
MikroTik,SXT Lite5,403,121,3349,https://www.mercadolivre.com.br/access-point-outdoor-mikrotik-routerboard-sxt-lite5-rbsxt5ndr2-branco/p/MLB17378103?pdp_filters=category:MLB5867
MikroTik,Cloud Core,3449.99,121,2144,https://www.mercadolivre.com.br/roteador-mikrotik-cloud-core-ccr1009-7g-1c-1s-branco-100v240v/p/MLB7912327?pdp_filters=category:MLB5867
TP-Link,RE200,185,121,1802,https://www.mercadolivre.com.br/access-point-range-extender-tp-link-re200-v2-branco-220v/p/MLB15379715?pdp_filters=category:MLB5867
Intelbras,AP 310,310,117,6489,https://www.mercadolivre.com.br/access-point-indoor-intelbras-ap-310-branco-110v220v/p/MLB8718820?pdp_filters=category:MLB5867
Google,Wifi,1699,110,2853,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-roteador-google-wifi-snow-220v-3-unidades/p/MLB14682775?pdp_filters=category:MLB5867
Tenda,n301,77.22,109,111,https://produto.mercadolivre.com.br/MLB-1378576321-roteador-tenda-n301-wi-fi-n300-2-ant-5dbi-3lan-1wan-ipv6-_JM
MikroTik,52hpn,900,107,99,https://produto.mercadolivre.com.br/MLB-1684065202-mikrotik-routerboard-groove-a-52hpn-l4-novo-c-nf-_JM
