model,price,reviews,sells,url,vendor
,119.90,561,12111,https://produto.mercadolivre.com.br/MLB-1197468706-repetidor-wifi-2800m-4-antenas-amplificador-de-sinal-_JM,
MW325R,112.11,235,3640,https://www.mercadolivre.com.br/roteador-mercusys-mw325r-v1-branco-100v240v/p/MLB9373592?pdp_filters=category:MLB5867,Mercusys
Omada,814.30,17,841,https://www.mercadolivre.com.br/access-point-outdoor-wmm-tp-link-omada-eap225-outdoor-v1-branco-220v/p/MLB18459896?pdp_filters=category:MLB5867,TP-Link
Archer,269,376,4853,https://www.mercadolivre.com.br/roteador-access-point-tp-link-archer-c6-v2-preto-220v/p/MLB15910376?pdp_filters=category:MLB5867,TP-Link
,63.90,106,3366,https://produto.mercadolivre.com.br/MLB-1931273279-repetidor-amplificador-de-sinal-wifi-ultra-rapido-_JM,
LV-WR09,87.80,"5,208",32787,https://www.mercadolivre.com.br/roteador-repetidor-access-point-wisp-pix-link-lv-wr09-branco-e-preto-100v240v/p/MLB10696017?pdp_filters=category:MLB5867,Pix-Link
TL-WPA4220,229.95,862,8179,https://www.mercadolivre.com.br/adaptador-powerline-tp-link-tl-wpa4220-branco/p/MLB7868088?pdp_filters=category:MLB5867,TP-Link
TL-WA850RE,144.50,"8,746",97261,https://www.mercadolivre.com.br/repetidor-tp-link-tl-wa850re-branco-220v/p/MLB6186903?pdp_filters=category:MLB5867,TP-Link
Mi,88.99,969,19276,https://www.mercadolivre.com.br/repetidor-range-extender-xiaomi-mi-wi-fi-range-extender-pro-r03-preto-100v240v/p/MLB10448369?pdp_filters=category:MLB5867,Xiaomi
EXO,383,43,765,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-roteador-d-link-exo-dir-3040-preto-100v240v/p/MLB19034976?pdp_filters=category:MLB5867,D-Link
Deco E4,621.37,423,3997,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-e4-branco-100v240v-2-unidades/p/MLB16014890?pdp_filters=item_id:MLB1780389086,TP-Link
